Date,Price,Open,High,Low,Vol.,Change %
2016-09-30,"2,168.27","2,156.51","2,175.30","2,156.51",,0.80%
2016-10-01,"2,168.27","2,156.51","2,175.30","2,156.51",,0.80%
2016-10-02,"2,168.27","2,156.51","2,175.30","2,156.51",,0.80%
2016-10-03,"2,161.20","2,164.33","2,164.41","2,154.77",,-0.33%
2016-10-04,"2,150.49","2,163.37","2,165.46","2,144.01",,-0.50%
2016-10-05,"2,159.73","2,155.15","2,163.95","2,155.15",,0.43%
2016-10-06,"2,160.77","2,158.22","2,162.93","2,150.28",,0.05%
2016-10-07,"2,153.74","2,164.19","2,165.86","2,144.85",,-0.33%
2016-10-08,"2,153.74","2,164.19","2,165.86","2,144.85",,-0.33%
2016-10-09,"2,153.74","2,164.19","2,165.86","2,144.85",,-0.33%
2016-10-10,"2,163.66","2,160.39","2,169.60","2,160.39",,0.46%
2016-10-11,"2,136.73","2,161.35","2,161.56","2,128.84",,-1.24%
2016-10-12,"2,139.18","2,137.67","2,145.36","2,132.77",,0.11%
2016-10-13,"2,132.55","2,130.26","2,138.19","2,114.72",,-0.31%
2016-10-14,"2,132.98","2,139.68","2,149.19","2,132.98",,0.02%
2016-10-15,"2,132.98","2,139.68","2,149.19","2,132.98",,0.02%
2016-10-16,"2,132.98","2,139.68","2,149.19","2,132.98",,0.02%
2016-10-17,"2,126.50","2,132.95","2,135.61","2,124.43",,-0.30%
2016-10-18,"2,139.60","2,138.31","2,144.38","2,135.49",,0.62%
2016-10-19,"2,144.29","2,140.81","2,148.44","2,138.15",,0.22%
2016-10-20,"2,141.34","2,142.51","2,147.18","2,133.44",,-0.14%
2016-10-21,"2,141.16","2,139.43","2,142.63","2,130.09",,-0.01%
2016-10-22,"2,141.16","2,139.43","2,142.63","2,130.09",,-0.01%
2016-10-23,"2,141.16","2,139.43","2,142.63","2,130.09",,-0.01%
2016-10-24,"2,151.33","2,148.50","2,154.79","2,146.91",,0.47%
2016-10-25,"2,143.16","2,149.72","2,151.44","2,141.93",,-0.38%
2016-10-26,"2,139.43","2,136.97","2,145.73","2,131.59",,-0.17%
2016-10-27,"2,133.04","2,144.06","2,147.13","2,132.52",,-0.30%
2016-10-28,"2,126.41","2,132.23","2,140.72","2,119.36",,-0.31%
2016-10-29,"2,126.41","2,132.23","2,140.72","2,119.36",,-0.31%
2016-10-30,"2,126.41","2,132.23","2,140.72","2,119.36",,-0.31%
2016-10-31,"2,126.15","2,129.78","2,133.25","2,125.53",,-0.01%
2016-11-01,"2,111.72","2,128.68","2,131.45","2,097.85",,-0.68%
2016-11-02,"2,097.94","2,109.43","2,111.76","2,094.00",,-0.65%
2016-11-03,"2,088.66","2,098.80","2,102.56","2,085.23",,-0.44%
2016-11-04,"2,085.18","2,083.79","2,099.07","2,083.79",,-0.17%
2016-11-05,"2,085.18","2,083.79","2,099.07","2,083.79",,-0.17%
2016-11-06,"2,085.18","2,083.79","2,099.07","2,083.79",,-0.17%
2016-11-07,"2,131.52","2,100.59","2,132.00","2,100.59",,2.22%
2016-11-08,"2,139.56","2,129.92","2,146.87","2,123.56",,0.38%
2016-11-09,"2,163.26","2,131.56","2,170.10","2,125.35",,1.11%
2016-11-10,"2,167.48","2,167.49","2,182.30","2,151.17",,0.20%
2016-11-11,"2,164.45","2,162.71","2,165.92","2,152.49",,-0.14%
2016-11-12,"2,164.45","2,162.71","2,165.92","2,152.49",,-0.14%
2016-11-13,"2,164.45","2,162.71","2,165.92","2,152.49",,-0.14%
2016-11-14,"2,164.20","2,165.64","2,171.36","2,156.08",,-0.01%
2016-11-15,"2,180.39","2,168.29","2,180.84","2,166.38",,0.75%
2016-11-16,"2,176.94","2,177.53","2,179.22","2,172.20",,-0.16%
2016-11-17,"2,187.12","2,178.61","2,188.06","2,176.65",,0.47%
2016-11-18,"2,181.90","2,186.85","2,189.89","2,180.38",,-0.24%
2016-11-19,"2,181.90","2,186.85","2,189.89","2,180.38",,-0.24%
2016-11-20,"2,181.90","2,186.85","2,189.89","2,180.38",,-0.24%
