Date,title_pos,title_pos_var,title_neg,title_neg_var,title_neu,title_neu_var,title_subjectivity,text_pos,text_poss_var,text_neg,text_neg_var,text_neu,text_neu_var,text_subjectivity,art_count
2017-06-22,0.6991511583328247,0.0,0.1197004690766334,0.0,0.1811483502388,0.0,0.0,,,,,,,0.0,1
2017-07-13,0.210599198937416,0.0,0.766115128993988,0.0,0.0232857372611761,0.0,0.0,,,,,,,0.0,1
2017-08-11,0.2460077553987503,0.0,0.7360138297080994,0.0,0.0179784093052148,0.0,0.35,,,,,,,0.0,1
2017-08-24,0.9012268781661988,0.0,0.0090543124824762,0.0,0.0897189080715179,0.0,0.0,,,,,,,0.0,1
2017-09-11,0.2800354361534118,0.0,0.0110905105248093,0.0,0.7088740468025208,0.0,0.4545454545454545,,,,,,,0.0,1
2017-09-30,0.0400687046349048,0.0,0.061814222484827,0.0,0.8981171250343323,0.0,0.0,,,,,,,0.0,2
2017-10-06,0.9189340472221376,0.0,0.0137851014733314,0.0,0.067280888557434,0.0,0.0,,,,,,,0.0,1
2017-10-16,0.043329332023859,0.0,0.0161939300596714,0.0,0.9404767751693726,0.0,0.2,,,,,,,0.0,1
2017-10-23,0.0189940296113491,0.0,0.9559195637702942,0.0,0.025086423382163,0.0,0.625,,,,,,,0.0,1
2017-11-06,0.0866041854023933,0.0,0.0090276533737778,0.0,0.9043681621551514,0.0,0.0,,,,,,,0.0,1
2017-11-20,0.0094331055879592,0.0,0.9492133855819702,0.0,0.0413535833358764,0.0,0.0,,,,,,,0.0,1
2018-01-10,0.9407680034637452,0.0,0.029444770887494,0.0,0.029787303879857,0.0,0.0,,,,,,,0.0,1
2018-01-17,0.8670103549957275,0.0,0.0571310073137283,0.0,0.0758586525917053,0.0,0.5,,,,,,,0.0,1
2018-01-18,0.01938283443450925,5.1807937369394745e-05,0.49688347242772574,0.2267419964214139,0.48373367078602314,0.2199390514372562,0.0,,,,,,,0.0,2
2018-02-23,0.210465520620346,0.0,0.0069741480983793,0.0,0.7825602889060974,0.0,0.0,,,,,,,0.0,1
2018-04-03,0.1534501612186432,0.0,0.0078689903020858,0.0,0.8386808037757874,0.0,0.0,,,,,,,0.0,1
2018-04-19,0.15463129733689124,0.035586499826165977,0.3836010126397013,0.13989104013343454,0.46176767861470575,0.17629081237558877,0.017708333333333326,0.00723571702837935,2.521523244794835e-07,0.9716431200504302,8.354286351597295e-06,0.02112118806689975,5.703689524684117e-06,0.1852657238721985,4
2018-04-23,0.4430705606937408,0.0,0.5106368660926819,0.0,0.046292595565319,0.0,0.0,0.0737066492438316,0.0,0.8919596076011658,0.0,0.034333698451519,0.0,0.3318954248366013,1
2018-06-05,0.0299276746809482,0.0,0.0182763803750276,0.0,0.9517959356307985,0.0,0.0,,,,,,,0.0,1
2018-06-08,0.0128986956551671,0.0,0.9591487050056458,0.0,0.0279526151716709,0.0,0.0,,,,,,,0.0,1
2018-07-18,0.8670103549957275,0.0,0.0571310073137283,0.0,0.0758586525917053,0.0,0.5,,,,,,,0.0,1
2018-08-06,0.0177045613527297,0.0,0.5242961049079895,0.0,0.4579992890357971,0.0,0.0,,,,,,,0.0,1
2018-09-13,0.1107224896550178,0.0,0.0126197533681988,0.0,0.8766577243804932,0.0,0.0,,,,,,,0.0,1
2018-10-18,0.8978397846221924,0.0,0.0662139356136322,0.0,0.0359461568295955,0.0,0.45,0.0220428071916103,0.0,0.9683360457420348,0.0,0.0096211293712258,0.0,0.4283055555555555,1
2018-11-13,0.7378213405609131,0.0,0.2124864310026168,0.0,0.0496922172605991,0.0,0.0,,,,,,,0.0,1
2018-11-16,0.2799039781093597,0.0,0.5665748119354248,0.0,0.153521180152893,0.0,0.0,0.0112768970429897,0.0,0.9691495895385742,0.0,0.01957343891263,0.0,0.5127272727272727,1
2018-11-20,0.3134980797767639,0.0,0.6158233284950256,0.0,0.0706785768270492,0.0,0.0,0.0321968607604503,0.0,0.9570398926734924,0.0,0.0107632083818316,0.0,0.3999999999999999,1
2018-12-10,0.0131256897002458,0.0,0.9611151218414308,0.0,0.0257591847330331,0.0,0.0,,,,,,,0.0,1
2018-12-11,0.0960658863186836,0.0,0.0132507560774683,0.0,0.8906833529472351,0.0,0.0,,,,,,,0.0,1
2018-12-12,0.0821494832634925,0.0,0.0101685030385851,0.0,0.9076820015907288,0.0,0.0,,,,,,,0.0,1
2018-12-20,0.0152121055871248,0.0,0.9478596448898317,0.0,0.0369282364845275,0.0,0.0,,,,,,,0.0,1
2019-01-02,0.0129667064175009,0.0,0.9542790651321412,0.0,0.0327542796730995,0.0,0.0,,,,,,,0.0,1
2019-01-16,0.8670103549957275,0.0,0.0571310073137283,0.0,0.0758586525917053,0.0,0.5,,,,,,,0.0,1
2019-01-17,0.0107637532055377,0.0,0.956768035888672,0.0,0.0324681811034679,0.0,0.1333333333333333,0.0311122089624404,0.0,0.958855390548706,0.0,0.0100324302911758,0.0,0.2785714285714285,1
2019-04-23,0.6146487593650818,0.0,0.0111636230722069,0.0,0.3741876482963562,0.0,0.0,0.8430770039558411,0.0,0.0261581484228372,0.0,0.1307648867368698,0.0,0.4493130282415996,1
2019-05-04,0.0399247594177722,0.0,0.0947824865579605,0.0,0.8652927279472351,0.0,0.0,0.0090104453265666,0.0,0.9690329432487488,0.0,0.0219565127044916,0.0,0.392103594894857,1
2019-07-01,0.5030419826507568,0.0,0.3873494863510132,0.0,0.1096085682511329,0.0,0.0,0.0170966014266014,0.0,0.9701656103134156,0.0,0.0127378115430474,0.0,0.4282407407407408,1
